smiles,HOMO (eV),Bandgap (eV),Mw (kg/mol),PCE_ave
*c1cc2c(-c3ccc(CCCCCCCCCCCC)s3)c3sc(-c4sc(*)c5c4C(=O)N(CCCCCCCC)C5=O)cc3c(-c3ccc(CCCCCCCCCCCC)s3)c2s1,1.03,0.51,-0.08,4.5
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6ccc(CC(CCCCCC)CCCCCCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CCCCCC)CCCCCCCC)s6)c5s4)s3)c3nsnc23)s1,-1.11,-0.37,-0.26,3.48
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6cc(CCCCCCCC)c(CCCCCCCC)s6)c6sc(*)cc6c(-c6cc(CCCCCCCC)c(CCCCCCCC)s6)c5s4)s3)c3nsnc23)s1,-1.01,-0.17,-0.34,5.76
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6sc(CCCCCCCC)cc6CCCCCCCC)c6sc(*)cc6c(-c6sc(CCCCCCCC)cc6CCCCCCCC)c5s4)s3)c3nsnc23)s1,-0.11,0.17,-0.41,5.16
*c1cc2c(OCCCCCCCC)c3sc(-c4sc(*)c5cc(C(=O)OCC(CC)CCCC)sc45)cc3c(OCCCCCCCC)c2s1,-1.79,-0.61,-0.48,5.1
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,-0.83,-0.17,0.05,6.2
*c1sc2c(OCC(CC)CCCC)c3c(F)c(-c4sc(*)c5cc(C(=O)OCC(CC)CCCC)sc45)sc3c(OCC(CC)CCCC)c2c1F,0.35,0.17,-0.45,3.2
*c1sc2c(OCC(CC)CCCC)c3c(F)c(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c(OCC(CC)CCCC)c2c1F,0.67,0.07,-0.08,2.7
*c1ccc(-c2sc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3sc(C(=O)OCC(CCCCCCCC)CCCCCCCC)cc23)s1,-1.97,-0.52,-0.21,4.4
*c1ccc(-c2sc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3sc(C(=O)OCC(CCCCCC)CCCCCCCC)c(F)c23)s1,-1.74,-0.32,0.28,5.4
*c1ccc(-c2sc(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c3sc(C(=O)OCC(CCCCCC)CCCCCCCC)cc23)s1,-0.83,-0.37,-0.42,7.1
*c1ccc(-c2sc(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c3sc(C(=O)OCC(CCCCCC)CCCCCCCC)c(F)c23)s1,-0.61,-0.37,-0.1,8.3
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(CCC(CCCC)CCCCCC)c6sc(*)cc6c(CCC(CCCC)CCCCCC)c5s4)s3)c3nn(CC(CCCC)CCCCCC)nc23)s1,-0.2,1.29,0.23,4.3
*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(CCC(CCCC)CCCCCC)c6sc(*)cc6c(CCC(CCCC)CCCCCC)c5s4)s3)c3nn(CC(CCCC)CCCCCC)nc23)s1,0.12,1.38,0.07,6.81
*c1cc2c(OCC(CC)CCCC)c3oc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(OCC(CC)CCCC)c2o1,-1.06,-0.56,-0.57,5.01
*c1cc2c(OCC(CC)CCCC)c3oc(-c4ccc(-c5c(OCCCCCCCC)c(OCCCCCCCC)c(-c6ccc(*)s6)c6nsnc56)s4)cc3c(OCC(CC)CCCC)c2o1,-1.01,0.07,-0.55,4.45
*c1cc2c(OCC(CC)CCCC)c3oc(-c4ccc(-c5ccc(-c6ccc(*)s6)c6nn(CCCCCCCC)nc56)s4)cc3c(OCC(CC)CCCC)c2o1,-1.56,1.04,-0.52,1.24
*c1cc2c(OCC(CC)CCCC)c3oc(-c4ccc(-c5c(OCCCCCCCC)c(OCCCCCCCC)c(-c6ccc(*)s6)c6nonc56)s4)cc3c(OCC(CC)CCCC)c2o1,-0.65,-0.08,-0.41,2.88
*c1cc2c(-c3ccc(CCCCCC)s3)c3sc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(-c3ccc(CCCCCC)s3)c2s1,-0.33,-0.22,-0.41,1.85
*c1cc2c(-c3ccc(CCCCCC)o3)c3sc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(-c3ccc(CCCCCC)o3)c2s1,-0.42,-0.08,-0.48,2.88
*c1cc2c(-c3ccc(CCCCCC)s3)c3oc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(-c3ccc(CCCCCC)s3)c2o1,-1.15,-0.17,-0.56,4.42
*c1cc2c(-c3ccc(CCCCCC)o3)c3oc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(-c3ccc(CCCCCC)o3)c2o1,-1.01,-0.52,-0.55,2.6
*c1cc2c(OCC(CC)CCCC)c3oc(-c4sc(-c5cc(F)c(-c6cc(CCCCCCCCCCCC)c(*)s6)c6nsnc56)cc4CCCCCCCCCCCC)cc3c(OCC(CC)CCCC)c2o1,-0.02,-0.56,-0.6,3.3
*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(-c5cc(F)c(-c6cc(CCCCCCCCCCCC)c(*)s6)c6nsnc56)cc4CCCCCCCCCCCC)cc3c(OCC(CC)CCCC)c2s1,-0.15,-0.37,-0.54,4
*c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6sc(*)cc6c(OCC(CC)CCCC)c5s4)s3)c3nonc23)s1,-0.29,0.12,1.18,5.7
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6sc(*)cc6c(OCC(CC)CCCC)c5s4)s3)c3nn(CCCCCCCC)nc23)s1,-1.24,1.14,-0.51,1.7
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3oc(-c4ccc(-c5c(OCCCCCCCC)c(OCCCCCCCC)c(-c6ccc(*)s6)c6nonc56)s4)cc3c(-c3ccc(CC(CC)CCCC)s3)c2o1,-0.38,-0.13,-0.14,5.9
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3oc(-c4ccc(-c5c(OCCCCCCCC)c(OCCCCCCCC)c(-c6ccc(*)s6)c6nsnc56)s4)cc3c(-c3ccc(CC(CC)CCCC)s3)c2o1,-0.83,-0.27,-0.47,4.94
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3oc(-c4ccc(-c5ccc(-c6ccc(*)s6)c6nn(CCCCCCCC)nc56)s4)cc3c(-c3ccc(CC(CC)CCCC)s3)c2o1,-1.88,0.31,-0.57,3.1
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(OCC(CCCCCCCC)CCCCCCCCCC)c6sc(*)cc6c(OCC(CCCCCCCC)CCCCCCCCCC)c5s4)s3)c3n[se]nc23)s1,-0.7,-0.81,-0.34,5.18
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(OCC(CCCCCCCC)CCCCCCCCCC)c6sc(*)cc6c(OCC(CCCCCCCC)CCCCCCCCCC)c5s4)s3)c3nsnc23)s1,-0.33,0.02,-0.31,5.01
*c1ccc(-c2cc(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CCCCCCCCCC)CCCCCCCCCCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CCCCCCCCCC)CCCCCCCCCCCC)s6)c5s4)s3)c3n[se]nc23)s1,-0.65,-0.56,-0.22,5
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(-c5cnc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,0.35,-0.76,-0.24,4.84
*c1cc2c(-c3ccc(CCCCCCCCCCCC)s3)c3sc(-c4sc(-c5cnc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(-c3ccc(CCCCCCCCCCCC)s3)c2s1,0.48,-0.91,-0.19,5.11
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6sc(CCCCCCCC)cc6CCCCCCCC)c6sc(*)cc6c(-c6sc(CCCCCCCC)cc6CCCCCCCC)c5s4)s3)c3nsnc23)s1,-0.11,0.17,-0.29,5.66
*c1cc2c(-c3ccc(CC(CC)CCCC)cc3)c3sc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(-c3ccc(CC(CC)CCCC)cc3)c2s1,0.08,-0.08,-0.18,8.07
*c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(-c4cc5c(-c6ccc(OCC(CC)CCCC)cc6)c6sc(*)cc6c(-c6ccc(OCC(CC)CCCC)cc6)c5s4)s3)c3nonc23)s1,1.03,-0.32,-0.45,6.2
*c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(-c4cc5c(-c6ccc(OCC(CC)CCCC)cc6)c6sc(*)cc6c(-c6ccc(OCC(CC)CCCC)cc6)c5s4)s3)c3nsnc23)s1,0.57,-0.47,-0.46,3.4
*c1cc2c(-c3ccc(OCC(CC)CCCC)cc3)c3sc(-c4sc(-c5c(F)cc(-c6cc(CCCCCCCCCCCC)c(*)s6)c6nsnc56)cc4CCCCCCCCCCCC)cc3c(-c3ccc(OCC(CC)CCCC)cc3)c2s1,0.44,-0.91,-0.6,2.7
*c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nonc23)s1,0.57,0.31,1.28,7.4
*c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)cc6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)cc6)c5s4)s3)c3nonc23)s1,0.3,0.31,1.4,6.4
*c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)o6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)o6)c5s4)s3)c3nonc23)s1,0.21,0.31,1.4,5.4
*c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)s6)c5o4)s3)c3nsnc23)s1,-0.61,-0.42,0.38,6.42
*c1cc2c(CC[C@@H](CCCC)CCCCCC)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc(C[C@H](CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(CCC(CCCC)CCCCCC)c2s1,0.89,0.07,-0.06,7.16
*c1cc2c(CCC(CCCC)CCCCCC)c3sc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(CCC(CCCC)CCCCCC)c2s1,0.39,-0.32,0.11,4.53
*c1cc2c(CCC(CCCC)CCCCCC)c3sc(-c4sc(-c5c(F)cc(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(CCC(CCCC)CCCCCC)c2s1,0.67,-0.22,-0.11,5.22
*c1cc2c(CC[C@H](CCCCC)CCCCCCCC)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc(CCCCCCCC)c(*)s6)c6nsnc56)cc4CCCCCCCC)cc3c(CCC(CCCCC)CCCCCCCC)c2s1,0.67,-0.76,-0.13,3.4
*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCCCC)s6)c5s4)s3)c3nsnc23)s1,0.57,0.12,-0.4,4.8
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCCCC)s6)c5s4)s3)c3nsnc23)s1,-0.2,-0.47,-0.41,1.9
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc(CCCCCCCC)c(*)s6)c6nsnc56)cc4CCCCCCCC)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,-0.02,0.02,-0.44,4.46
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(*)s6)c6nsnc56)cc4CC(CC)CCCC)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,0.03,0.22,-0.41,6.2
*c1cc2c(OCC(CCCCCC)CCCCCCCC)c3sc(-c4sc(-c5c(F)c(F)c(-c6cc(CCCCCC)c(*)s6)c6nsnc56)cc4CCCCCC)cc3c(OCC(CCCCCC)CCCCCCCC)c2s1,-0.11,-0.08,-0.29,8.3
*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(CCC(CCCC)CCCCCC)c6sc(*)cc6c(CCC(CCCC)CCCCCC)c5s4)s3)c3nn(CC(CCCC)CCCCCC)nc23)s1,0.12,1.38,0.07,6.81
*c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(-c4cc5c(OC[C@@H](CC)CCCC)c6sc(*)cc6c(OC[C@@H](CC)CCCC)c5s4)o3)c3nsnc23)o1,0.48,1.19,-0.55,2.81
*c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(-c4cc5c(OC[C@@H](CC)CCCC)c6sc(*)cc6c(OC[C@@H](CC)CCCC)c5s4)s3)c3nsnc23)s1,0.08,0.51,-0.48,3.72
*c1cc2sc(-c3c(OCCCCCCCC)c(OCCCCCCCC)c(-c4cc5sc(-c6cc7c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c8sc(*)cc8c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c7s6)cc5s4)c4nsnc34)cc2s1,-0.56,0.31,-0.17,4.93
*c1cc2sc(-c3c(OCCCCCCCC)c(OCCCCCCCC)c(-c4cc5sc(-c6cc7c(OC[C@@H](CCCCCCCC)CCCCCCCCCC)c8sc(*)cc8c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c7s6)cc5s4)c4nonc34)cc2s1,-0.11,0.26,-0.22,7.05
*c1cc2c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c3sc(-c4sc5cc(-c6ccc(-c7cc8sc(*)c(CCCCCC)c8s7)c7nsnc67)sc5c4CCCCCC)cc3c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c2s1,-0.2,-0.08,-0.12,4.37
*c1cc2c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c3sc(-c4sc5cc(-c6c(F)c(F)c(-c7cc8sc(*)c(CCCCCC)c8s7)c7nsnc67)sc5c4CCCCCC)cc3c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c2s1,0.17,0.07,-0.31,3.56
*c1cc2c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3sc(-c4sc5cc(-c6ccc(-c7cc8sc(*)c(CCCCCCCCCCC)c8s7)c7nsnc67)sc5c4CCCCCCCCCCC)cc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c2s1,-1.01,-0.32,-0.42,6.03
*c1cc2c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3sc(-c4sc(-c5ccc(-c6cc(CCCCCCCCCCCC)c(*)s6)c6nsnc56)cc4CCCCCCCCCCCC)cc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c2s1,-0.83,-0.42,-0.24,2.34
*c1ccc(-c2c(OCC(CC)CCCC)c(OCC(CC)CCCC)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(*)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nsnc23)s1,-0.29,0.36,-0.5,4.9
*c1cc2sc(-c3c(OCC(CCCC)CCCCCC)c(OCC(CCCC)CCCCCC)c(-c4cc5sc(-c6cc7c(-c8ccc(CC(CC)CCCC)s8)c8sc(*)cc8c(-c8ccc(CC(CC)CCCC)s8)c7s6)cc5s4)c4nsnc34)cc2s1,-1.11,0.07,-0.53,6.3
*c1cc(CCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCC)CCCCCCCC)nc7s6)s5)cc4CCCCCCCCCC)nc3s2)s1,-0.56,0.41,-0.22,4.9
*c1cc(CCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCCCC)CCCCCCCCCC)nc7s6)s5)cc4CCCCCCCCCC)nc3s2)s1,-0.61,0.41,-0.39,3.6
*c1cc(CCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCC)CCCCCCCC)nc7s6)s5)cc4CCCCCCCCCCCC)nc3s2)s1,-0.61,0.41,-0.44,4.6
*c1cc(CCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCCCC)CCCCCCCCCC)nc7s6)s5)cc4CCCCCCCCCCCC)nc3s2)s1,-0.56,0.41,-0.18,5.7
*c1cc(CCCCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCC)CCCCCCCC)nc7s6)s5)cc4CCCCCCCCCCCCCC)nc3s2)s1,-0.56,0.41,1.44,5.2
*c1cc(CCCCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCCCC)CCCCCCCCCC)nc7s6)s5)cc4CCCCCCCCCCCCCC)nc3s2)s1,-0.56,0.41,0.29,4.9
*c1cc(CC(CC)CCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCCCC)CCCCCCCCCC)nc7s6)s5)cc4CC(CC)CCCC)nc3s2)s1,-0.56,0.41,7.32,5.6
*c1cc(CC(CCCC)CCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCC)CCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCC)CCCCCC)nc7s6)s5)cc4CC(CCCC)CCCCCC)nc3s2)s1,-0.47,0.41,-0.38,5.6
*c1cc(CC(CCCC)CCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCC)CCCCCCCC)nc7s6)s5)cc4CC(CCCC)CCCCCC)nc3s2)s1,-0.47,0.41,0.14,6.5
*c1cc(CC(CCCC)CCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCCCC)CCCCCCCCCC)nc7s6)s5)cc4CC(CCCC)CCCCCC)nc3s2)s1,-0.47,0.41,-0.31,4.4
*c1cc(CCCCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCC)CCCCCCCC)nc7s6)s5)cc4CCCCCCCCCCCCCC)nc3s2)s1,-0.56,0.41,-0.52,3
*c1cc(CCCCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCC)CCCCCCCC)nc7s6)s5)cc4CCCCCCCCCCCCCC)nc3s2)s1,-0.56,0.41,-0.22,4
*c1cc(CCCCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCC)CCCCCCCC)nc7s6)s5)cc4CCCCCCCCCCCCCC)nc3s2)s1,-0.56,0.41,1.51,5.3
*c1cc(CCCCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCC)CCCCCCCC)nc7s6)s5)cc4CCCCCCCCCCCCCC)nc3s2)s1,-0.56,0.41,9.76,4.8
*c1cc(CCCCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6nc7sc(-c8sc(*)cc8CC(CCCCCC)CCCCCCCC)nc7s6)s5)cc4CCCCCCCCCCCCCC)nc3s2)s1,-0.56,0.41,-0.52,3.2
*c1cc(CCCCCCCCCCCCCC)c(-c2cc(CCCCCCCCCCCCCC)c(-c3nc4sc(-c5sc(-c6sc(*)cc6CCCCCCCCCCCCCC)cc5CCCCCCCCCCCCCC)nc4s3)s2)s1,-1.06,0.41,-0.45,1.6
*c1cc(C(CCCCCC)CCCCCCCC)c(-c2nc3sc(-c4sc(*)cc4C(CCCCCC)CCCCCCCC)nc3s2)s1,-0.15,0.41,-0.53,0.8
*c1ccc(C2=C3C(=O)N(CCCCCC)C(c4ccc(-c5cc6c(OCCCCCC)c7sc(*)cc7c(OCCCCCC)c6s5)cc4)=C3C(=O)N2CCCCCC)cc1,0.62,-0.08,-0.58,1.51
*c1ccc(C2=C3C(=O)N(CCCCCC)C(c4ccc(-c5cc6c(OCCCCCC)c7sc(*)cc7c(OCCCCCC)c6s5)s4)=C3C(=O)N2CCCCCC)s1,-0.83,-1.39,-0.51,2.78
*c1ccc(-c2ccc(C3=C4C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(c5ccc(-c6ccc(*)s6)cn5)=C4C(=O)N3CC(CCCCCCCC)CCCCCCCCCC)nc2)s1,1.98,-0.03,-0.49,4.88
*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(*)s5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,-0.15,-1.88,2.23,6.9
*c1ccc(-c2ccc(C3=C4C(=O)N(CC(CCCCCC)CCCCCCCC)C(c5ccc(*)s5)=C4C(=O)N3CC(CCCCCC)CCCCCCCC)s2)cc1,0.67,-0.91,0.38,7.3
*c1ccc(C2=C3C(=O)N(CC(CCCCCC)CCCCCCCC)C(c4ccc(-c5ccc(-c6ccc(C7=C8C(=O)N(CC(CCCCCC)CCCCCCCC)C(c9ccc(-c%10ccc(*)s%10)s9)=C8C(=O)N7CC(CCCCCC)CCCCCCCC)s6)cc5)s4)=C3C(=O)N2CC(CCCCCC)CCCCCCCC)s1,-0.79,-1.39,0.46,7.8
*c1ccc(-c2cc3sc(C4=C5C(=O)N(CCCC(CCCCCCCC)CCCCCCCCCC)C(c6cc7sc(*)cc7s6)=C5C(=O)N4CCCC(CCCCCCCC)CCCCCCCCCC)cc3s2)s1,-1.15,-1.59,0.46,8.8
*c1cc2sc(C3=C4C(=O)N(CCCC(CCCCCCCC)CCCCCCCCCC)C(c5cc6sc(-c7ccc(*)[se]7)cc6s5)=C4C(=O)N3CCCC(CCCCCCCC)CCCCCCCCCC)cc2s1,-1.2,-1.69,1.06,7.6
*c1cc2sc(C3=C4C(=O)N(CCCC(CCCCCCCC)CCCCCCCCCC)C(c5cc6sc(-c7ccc(*)[te]7)cc6s5)=C4C(=O)N3CCCC(CCCCCCCC)CCCCCCCCCC)cc2s1,-1.29,-1.93,1.31,7.1
*c1ccc(C2=C3C(=O)N(CCCCCCCCCCCC)C(c4ccc(-c5ccc(*)s5)o4)=C3C(=O)N2CCCCCCCCCCCC)o1,-0.61,-1.54,-0.09,4.8
*c1ccc(C2=C3C(=O)N(CCCCCCCCCCCCCC)C(c4ccc(-c5ccc(*)s5)o4)=C3C(=O)N2CCCCCCCCCCCCCC)o1,-0.61,-1.54,0.01,6.2
*c1ccc(C2=C3C(=O)N(CCCCCCCCCCCCCCCC)C(c4ccc(-c5ccc(*)s5)o4)=C3C(=O)N2CCCCCCCCCCCCCCCC)o1,-0.15,-1.54,-0.02,5.7
*c1ccc(C2=C3C(=O)N(CC(CCCC)CCCCCC)C(c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(*)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)o4)=C3C(=O)N2CC(CCCC)CCCCCC)o1,-0.33,-1,-0.09,4.5
*c1ccc(C2=C3C(=O)N(CC(CCCC)CCCCCC)C(c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(*)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)=C3C(=O)N2CC(CCCC)CCCCCC)s1,-0.15,-1.25,-0.01,6.4
*c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4ccc(C5=C6C(=O)N(CC(CCCC)CCCCCC)C(c7ccc(*)[se]7)=C6C(=O)N5CC(CCCC)CCCCCC)[se]4)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1,-0.38,-1.64,-0.07,7
*c1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(c6ccc(*)s6)=C5C(=O)N4CC(CCCCCCCC)CCCCCCCCCC)s3)cc2)cc1,0.26,-0.42,0.62,5.7
*c1ccc(C2=C3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(c4ccc(-c5ccc(-c6ccc(*)c(F)c6)cc5F)s4)=C3C(=O)N2CC(CCCCCCCC)CCCCCCCCCC)s1,0.48,-0.61,1.35,3.7
*c1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(c6ccc(*)s6)=C5C(=O)N4CC(CCCCCCCC)CCCCCCCCCC)s3)cc2F)c(F)c1,0.67,-0.08,0.38,4.1
*c1ccc2cc(-c3ccc(C4=C5C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(c6ccc(*)s6)=C5C(=O)N4CC(CCCCCCCC)CCCCCCCCCC)s3)ccc2c1,-0.2,-1.05,0.01,4.7
*c1ccc(-c2ccc(C3=C4C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(c5ccc(*)s5)=C4C(=O)N3CC(CCCCCCCCCC)CCCCCCCCCCCC)s2)cc1,0.3,-0.86,0.9,3.2
